year;film;box_office;budget
1988;Above the Law;19;8
1990;Hard to Kill;47;10
1990;Marked for Death;46;12
1991;Out for Justice;39;14
1992;Under Siege;83;35
1994;On Deadly Ground;39;50
1995;Under Siege 2: Dark Territory;50;60
1996;Executive Decision;68;55
1996;The Glimmer Man;20;45
1997;Fire Down Below;16;60
1998;The Patriot;1;25
2001;Exit Wounds;51;50
2002;Ticker;1;7
2002;Half Past Dead;15;13
2002;The Foreigner;1;17
2003;Out for a Kill;1;14
2004;Belly of the Beast;1;14
2004;Clementine;0;2
2004;Out of Reach;0;20
2005;Into the Sun;1;15
2005;Submerged;0;15
2005;Black Dawn;0;15
2006;Mercenary for Justice;0;15
2006;Shadow Man;0;0
2006;Attack Force;0;12
2007;Flight of Fury;0;12
2007;Urban Justice;0;12
2008;Pistol Whipped;1;10
2008;Kill Switch;0;10
2009;Against the Dark;0;9
2009;Driven to Kill;0;10
2009;The Keeper;0;10
2009;A Dangerous Man;0;7
2010;Machete;26;11
2010;Born to Raise Hell;0;10
2012;Maximum Conviction;0;10
2013;Force of Execution;0;10
2014;A Good Man;0;7
2014;Gutshot Straight;0;10
2015;Mercenary Absolution;0;10
2016;Cartels;0;7
2016;Sniper: Special Ops;0;8
2016;Code of Honor;0;8
2016;The Asian Connection;0;2
2016;The Perfect Weapon;0;8
2016;End of the Gun;0;8
2016;Contract to Kill;0;10
